keamanan-serangan-otomatis	A grid of many small identical browser windows being scanned in sequence by a stream of abstract robot probe icons flowing left to right; one window in the grid is highlighted and cracked open, glowing amber. Conveys mass automated vulnerability scanning at scale.
keamanan-lapisan-pertahanan	Five concentric rounded rectangular shells nested inside one another like layered armor around a small central browser window, each shell a slightly different tone, the outermost thin and the innermost solid amber. Conveys defense in depth.
keamanan-prompt-injection	A chat bubble on a website panel containing a small hidden malicious command shape, being absorbed by an AI assistant icon that then leaks a stream of small document icons out through a side channel. Conveys prompt injection data leakage.
keamanan-respons-insiden	A horizontal six-step process flow of connected rounded nodes with simple glyphs (stop, magnifier, scissors, arrow-up-cloud, key, eye), progressing left to right from red-orange to calm amber. Conveys incident response runbook.
seo-hero	A search input bar at the left morphing along a flowing ribbon into a generative AI answer panel at the right, with small ranked document cards feeding into it from below. Conveys search evolving into AI answers.
seo-empat-lapisan	Four stacked translucent horizontal plates seen in slight isometric perspective, each plate a little smaller than the one below and tinted progressively more amber toward the top, with small connector dots between plates. Conveys four layers of optimization building on each other.
seo-anatomi-halaman	An isometric wireframe of a single web page with abstract placeholder blocks, and six small circular marker badges attached by thin leader lines to different regions of the page (top bar, headline block, body block, image block, link block, footer block). Conveys an annotated on-page anatomy.
seo-kutipan-ai	Several stacked document cards on the left, three of them pulled forward and glowing amber, connected by curved lines into a single AI answer panel on the right that displays small quotation-mark and citation-link glyphs. Conveys how a generative engine selects and cites sources.
seo-pengukuran	A clean analytics dashboard panel containing one rising line chart, two small bar charts, and three compact KPI tiles, arranged in a bento grid. Conveys measurement of SEO and AI visibility.
mobileapp-hero	A single path splitting into two diverging routes at a decision point: the left route leads to a simple browser window shape, the right route leads to a smartphone outline with a rounded app icon on its screen. The fork point is marked by a small amber diamond. Balanced composition, plenty of whitespace above and below.
mobileapp-distribusi	Two horizontal distribution flows stacked vertically. Top flow: one link glyph fanning out directly into many small person icons. Bottom flow: the same link passing through a narrow gate shape, then a download arrow, then an install progress bar, with fewer person icons arriving at the end and some falling away. Conveys drop-off through installation friction.
mobileapp-lima-pemicu	Five circular nodes arranged in an arc, each holding a simple distinct glyph (repeating calendar loop, crossed-out cloud, bell, bluetooth-and-sensor mark, wallet card), all connected by thin lines converging into one rounded app icon at the center, the app icon filled amber. Conveys five triggers that justify a mobile app.
mobileapp-spektrum	A horizontal four-step ascending stair or scale, left to right: a plain browser window, a browser window with a small home-screen icon attached, a single code block splitting into two phone outlines, and finally two separate code blocks feeding two separate phone outlines. Tint deepens from light gray to amber toward the right. Conveys a spectrum from responsive website to native apps.
mobileapp-biaya	An iceberg composition: a small visible peak above a horizontal waterline holding one simple build glyph, and a much larger submerged mass below the waterline containing several small glyphs (recurring subscription loop, review gate, refresh arrows, split branches, version tag). Amber only on the small peak, cool grays below. Conveys hidden ongoing maintenance costs.
mobileapp-keputusan	A vertical flowchart funnel. Four diamond decision nodes stacked one below another down the centre, connected top to bottom by a single vertical line. From each diamond a short horizontal branch exits to the LEFT and turns down into one shared vertical rail on the far left, and that rail ends in a single browser window shape at the bottom left, filled solid amber. The centre line continues past the last diamond and ends in a single smartphone outline at the bottom right. Every line terminates at a shape; no loose or dangling line ends anywhere. Conveys a decision funnel where most paths exit early to the website outcome.
